"Label","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,957,488","4,899,118","5,058,370","96.9","572,374","596,594","630,042","669,114","717,149","1,245,849","1,170,300","1,345,271","722,076","667,775","943,253","471,583","206,108","39.7","2,196,098","8,027,949","7,761,390","7,340,535","2,007,356","1,620,944","7,761,390","3,775,507","3,985,883","94.7","1,620,944","720,494","900,450","80.0","","9,957,488","9,673,770","283,718","9,673,770","7,818,588","1,375,424","53,235","2,832","23,435","275","401","304,403","110,379","60,206","26,225","11,918","26,104","16,785","52,786","2,979","1,081","565","518","815","119,141","283,718","102,237","63,944","49,847","12,932","","9,957,488","8,073,520","1,516,353","146,996","368,624","10,492","147,841","","9,957,488","497,897","363,421","45,369","12,014","77,093","9,459,591","7,489,371","1,360,345","45,772","303,059","2,464","14,334","244,246","6,635","237,611","4,580,939","","7,472,668","3,626,486","3,846,182"
"    Margin of Error","","*****","±757","±757","±0.1","±385","±3,749","±3,711","±767","±874","±821","±834","±731","±2,853","±2,885","±467","±2,576","±2,581","±0.2","±331","±1,878","±331","±2,376","±2,788","±520","±331","±587","±488","±0.1","±520","±371","±361","±0.1","","*****","±5,010","±5,010","±5,010","±4,309","±3,571","±1,794","±340","±1,043","±149","±118","±1,918","±3,208","±2,286","±1,606","±972","±1,327","±1,370","±3,008","±372","±189","±128","±146","±284","±4,383","±5,010","±3,548","±1,504","±2,000","±1,241","","*****","±6,239","±2,041","±2,173","±914","±897","±4,376","","*****","±71","±3,385","±2,066","±1,049","±2,578","±71","±1,062","±3,492","±1,315","±1,909","±351","±1,208","±4,439","±675","±4,324","±932","","±4,771","±3,043","±2,794"
"    Percent","","9,957,488","49.2%","50.8%","(X)","5.7%","6.0%","6.3%","6.7%","7.2%","12.5%","11.8%","13.5%","7.3%","6.7%","9.5%","4.7%","2.1%","(X)","22.1%","80.6%","77.9%","73.7%","20.2%","16.3%","7,761,390","48.6%","51.4%","(X)","1,620,944","44.4%","55.6%","(X)","","9,957,488","97.2%","2.8%","97.2%","78.5%","13.8%","0.5%","0.0%","0.2%","0.0%","0.0%","3.1%","1.1%","0.6%","0.3%","0.1%","0.3%","0.2%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.2%","2.8%","1.0%","0.6%","0.5%","0.1%","","9,957,488","81.1%","15.2%","1.5%","3.7%","0.1%","1.5%","","9,957,488","5.0%","3.6%","0.5%","0.1%","0.8%","95.0%","75.2%","13.7%","0.5%","3.0%","0.0%","0.1%","2.5%","0.1%","2.4%","(X)","","7,472,668","48.5%","51.5%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","±0.1","±0.1","(X)","(X)","±0.1","±0.1","(X)","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","(X)","","(X)","±0.1","±0.1"
"Manistee city, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,071","2,848","3,223","88.4","261","336","396","396","290","820","606","692","512","519","708","338","197","43.4","1,250","4,978","4,821","4,654","1,496","1,243","4,821","2,194","2,627","83.5","1,243","604","639","94.5","","6,071","5,725","346","5,725","5,520","0","122","0","22","0","0","34","4","0","0","0","0","30","0","14","14","0","0","0","35","346","64","114","9","0","","6,071","5,866","223","395","43","14","35","","6,071","200","82","0","82","36","5,871","5,355","0","122","34","14","0","346","0","346","3,660","","4,790","2,179","2,611"
"    Margin of Error","","±43","±144","±144","±8.4","±97","±104","±84","±88","±86","±134","±120","±115","±105","±109","±130","±81","±82","±4.3","±175","±173","±181","±198","±172","±146","±181","±173","±114","±8.3","±146","±97","±90","±17.7","","±43","±165","±157","±165","±179","±14","±67","±14","±22","±14","±14","±36","±8","±14","±14","±14","±14","±36","±14","±21","±21","±14","±14","±14","±42","±157","±68","±100","±14","±14","","±43","±99","±123","±177","±38","±21","±42","","±43","±97","±81","±14","±90","±57","±107","±209","±14","±67","±36","±21","±14","±157","±14","±157","±177","","±184","±174","±116"
"    Percent","","6,071","46.9%","53.1%","(X)","4.3%","5.5%","6.5%","6.5%","4.8%","13.5%","10.0%","11.4%","8.4%","8.5%","11.7%","5.6%","3.2%","(X)","20.6%","82.0%","79.4%","76.7%","24.6%","20.5%","4,821","45.5%","54.5%","(X)","1,243","48.6%","51.4%","(X)","","6,071","94.3%","5.7%","94.3%","90.9%","0.0%","2.0%","0.0%","0.4%","0.0%","0.0%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","0.5%","0.0%","0.2%","0.2%","0.0%","0.0%","0.0%","0.6%","5.7%","1.1%","1.9%","0.1%","0.0%","","6,071","96.6%","3.7%","6.5%","0.7%","0.2%","0.6%","","6,071","3.3%","1.4%","0.0%","1.4%","0.6%","96.7%","88.2%","0.0%","2.0%","0.6%","0.2%","0.0%","5.7%","0.0%","5.7%","(X)","","4,790","45.5%","54.5%"
"    Percent Margin of Error","","(X)","±2.3","±2.3","(X)","±1.6","±1.7","±1.4","±1.4","±1.4","±2.2","±2.0","±1.9","±1.7","±1.8","±2.1","±1.3","±1.3","(X)","±2.9","±2.7","±2.9","±3.2","±2.8","±2.4","(X)","±2.4","±2.4","(X)","(X)","±4.7","±4.7","(X)","","(X)","±2.6","±2.6","±2.6","±2.8","±0.4","±1.1","±0.4","±0.4","±0.4","±0.4","±0.6","±0.1","±0.4","±0.4","±0.4","±0.4","±0.6","±0.4","±0.3","±0.3","±0.4","±0.4","±0.4","±0.7","±2.6","±1.1","±1.6","±0.2","±0.4","","(X)","±1.3","±2.0","±2.9","±0.6","±0.3","±0.7","","(X)","±1.6","±1.3","±0.4","±1.5","±0.9","±1.6","±3.3","±0.4","±1.1","±0.6","±0.3","±0.4","±2.6","±0.4","±2.6","(X)","","(X)","±2.5","±2.5"